,features,labels
4500,"[1, 7071, 79, 8]",a
4501,"[2, 3281, 29, 61]",b
4502,"[2, 3301, 52, 90]",a
4503,"[2, 4920, 65, 22]",c
4504,"[1, 3899, 95, 69]",c
4505,"[2, 3602, 98, 24]",d
4506,"[0, 4074, 37, 87]",d
4507,"[2, 6240, 33, 70]",d
4508,"[2, 6712, 46, 16]",c
4509,"[1, 3142, 48, 97]",a
4510,"[1, 5655, 6, 100]",d
4511,"[0, 4462, 95, 47]",b
4512,"[1, 6804, 20, 59]",d
4513,"[1, 2324, 78, 94]",d
4514,"[1, 4414, 42, 96]",b
4515,"[2, 4490, 41, 27]",b
4516,"[1, 3375, 38, 59]",d
4517,"[0, 2960, 74, 19]",c
4518,"[0, 2995, 90, 59]",a
4519,"[0, 1831, 33, 14]",c
4520,"[0, 6322, 68, 24]",a
4521,"[0, 1905, 30, 79]",a
4522,"[2, 535, 61, 31]",a
4523,"[1, 2640, 31, 17]",d
4524,"[2, 3497, 16, 31]",d
4525,"[1, 470, 37, 17]",a
4526,"[2, 5916, 5, 58]",c
4527,"[0, 4247, 18, 46]",a
4528,"[2, 5382, 19, 77]",b
4529,"[0, 1853, 1, 5]",c
4530,"[0, 154, 26, 37]",d
4531,"[2, 6114, 17, 73]",d
4532,"[1, 3313, 100, 67]",c
4533,"[0, 3383, 83, 18]",c
4534,"[1, 1696, 37, 72]",b
4535,"[0, 2597, 12, 44]",a
4536,"[2, 4864, 21, 16]",b
4537,"[1, 5256, 1, 68]",d
4538,"[2, 2756, 88, 83]",c
4539,"[0, 3152, 19, 51]",b
4540,"[0, 1163, 24, 3]",b
4541,"[1, 7099, 62, 21]",b
4542,"[0, 3349, 84, 39]",d
4543,"[2, 7008, 51, 100]",d
4544,"[0, 3062, 97, 82]",a
4545,"[2, 3873, 76, 59]",b
4546,"[1, 5864, 81, 54]",c
4547,"[2, 6599, 55, 17]",b
4548,"[1, 2275, 54, 60]",d
4549,"[1, 6859, 12, 61]",b
4550,"[0, 4363, 3, 47]",b
4551,"[0, 3860, 19, 17]",b
4552,"[1, 3867, 21, 32]",a
4553,"[1, 3388, 9, 12]",b
4554,"[2, 7200, 74, 19]",a
4555,"[2, 1489, 63, 9]",a
4556,"[0, 2163, 26, 10]",a
4557,"[0, 210, 15, 27]",d
4558,"[2, 4881, 31, 41]",a
4559,"[2, 5265, 52, 79]",b
4560,"[0, 3335, 39, 73]",a
4561,"[1, 4917, 52, 44]",a
4562,"[2, 3927, 27, 82]",a
4563,"[1, 4071, 37, 84]",d
4564,"[1, 5481, 6, 40]",b
4565,"[0, 6725, 57, 20]",c
4566,"[0, 3818, 14, 99]",c
4567,"[2, 1014, 70, 40]",d
4568,"[1, 2555, 25, 42]",a
4569,"[0, 333, 9, 43]",b
4570,"[2, 3574, 2, 44]",c
4571,"[1, 3196, 93, 28]",d
4572,"[0, 8, 0, 44]",d
4573,"[1, 5791, 66, 60]",d
4574,"[2, 190, 73, 49]",d
4575,"[1, 1083, 24, 72]",d
4576,"[2, 3093, 54, 51]",b
4577,"[2, 4547, 75, 92]",b
4578,"[2, 3974, 14, 17]",b
4579,"[2, 5940, 98, 81]",b
4580,"[1, 419, 1, 71]",d
4581,"[0, 2543, 44, 34]",a
4582,"[1, 313, 98, 77]",c
4583,"[0, 874, 23, 18]",d
4584,"[1, 2850, 39, 65]",b
4585,"[2, 3627, 16, 16]",d
4586,"[2, 5719, 18, 27]",c
4587,"[1, 890, 18, 12]",d
4588,"[2, 3796, 63, 62]",c
4589,"[0, 5007, 57, 95]",d
4590,"[2, 2424, 66, 28]",a
4591,"[0, 5654, 2, 11]",d
4592,"[1, 6948, 16, 19]",a
4593,"[0, 5981, 87, 65]",d
4594,"[0, 5733, 55, 73]",a
4595,"[0, 1858, 65, 66]",d
4596,"[0, 4305, 70, 82]",b
4597,"[0, 2248, 26, 29]",a
4598,"[1, 5826, 95, 86]",a
4599,"[1, 2850, 57, 43]",c
4600,"[0, 749, 77, 42]",a
4601,"[2, 4565, 98, 32]",b
4602,"[2, 5947, 98, 36]",b
4603,"[2, 3281, 2, 93]",a
4604,"[1, 2975, 13, 88]",a
4605,"[0, 2302, 18, 36]",b
4606,"[1, 4214, 68, 45]",b
4607,"[1, 4418, 67, 57]",c
4608,"[1, 2808, 10, 97]",b
4609,"[2, 4318, 65, 83]",c
4610,"[1, 1540, 15, 23]",b
4611,"[0, 2825, 24, 94]",d
4612,"[1, 6372, 69, 67]",d
4613,"[0, 6783, 25, 48]",a
4614,"[0, 477, 1, 99]",a
4615,"[1, 3251, 90, 88]",c
4616,"[0, 4516, 29, 26]",c
4617,"[0, 3019, 38, 73]",a
4618,"[2, 3668, 80, 88]",a
4619,"[2, 6226, 18, 70]",c
4620,"[0, 6338, 3, 76]",b
4621,"[1, 6680, 47, 27]",b
4622,"[2, 530, 72, 58]",c
4623,"[1, 4492, 60, 56]",b
4624,"[0, 54, 84, 22]",c
4625,"[2, 3120, 51, 11]",a
4626,"[0, 1283, 30, 22]",a
4627,"[1, 822, 94, 27]",d
4628,"[2, 2551, 32, 45]",a
4629,"[1, 3592, 7, 100]",c
4630,"[2, 3047, 96, 28]",b
4631,"[2, 3718, 63, 16]",a
4632,"[1, 3634, 15, 98]",c
4633,"[0, 1799, 35, 27]",d
4634,"[2, 5734, 21, 9]",b
4635,"[2, 445, 30, 57]",c
4636,"[2, 2798, 3, 86]",d
4637,"[0, 795, 78, 77]",c
4638,"[2, 46, 35, 19]",d
4639,"[1, 3486, 53, 16]",b
4640,"[0, 78, 54, 58]",d
4641,"[2, 1889, 35, 10]",c
4642,"[0, 3960, 48, 12]",d
4643,"[0, 6383, 99, 9]",b
4644,"[2, 3193, 81, 65]",b
4645,"[2, 4023, 27, 95]",c
4646,"[1, 3617, 53, 48]",b
4647,"[2, 692, 36, 40]",b
4648,"[2, 6882, 8, 75]",a
4649,"[2, 4640, 50, 20]",c
4650,"[0, 5344, 100, 28]",c
4651,"[1, 6502, 70, 23]",b
4652,"[2, 3710, 86, 25]",b
4653,"[2, 5537, 71, 50]",a
4654,"[0, 3635, 36, 7]",d
4655,"[1, 2015, 66, 14]",a
4656,"[0, 2608, 71, 99]",c
4657,"[1, 2784, 21, 62]",d
4658,"[2, 1125, 2, 52]",b
4659,"[0, 3731, 72, 11]",c
4660,"[0, 6024, 87, 41]",d
4661,"[2, 1307, 44, 49]",a
4662,"[1, 1943, 57, 76]",b
4663,"[1, 569, 61, 3]",b
4664,"[0, 1382, 62, 75]",a
4665,"[0, 1292, 75, 30]",b
4666,"[2, 124, 57, 0]",d
4667,"[1, 4585, 36, 0]",a
4668,"[1, 3388, 8, 25]",a
4669,"[0, 3366, 71, 69]",c
4670,"[1, 2518, 16, 3]",c
4671,"[0, 611, 42, 23]",b
4672,"[2, 5416, 98, 82]",c
4673,"[0, 5469, 51, 85]",c
4674,"[1, 5503, 53, 6]",c
4675,"[2, 3872, 81, 37]",b
4676,"[0, 6373, 42, 58]",c
4677,"[1, 5056, 20, 21]",c
4678,"[1, 4785, 8, 64]",c
4679,"[0, 2634, 66, 7]",b
4680,"[2, 5540, 19, 1]",d
4681,"[1, 2283, 46, 38]",b
4682,"[2, 4950, 86, 100]",c
4683,"[1, 1116, 12, 53]",b
4684,"[0, 6761, 28, 26]",a
4685,"[2, 5224, 13, 30]",c
4686,"[1, 5905, 78, 88]",a
4687,"[2, 6519, 86, 79]",b
4688,"[1, 4703, 7, 48]",d
4689,"[2, 5334, 8, 19]",a
4690,"[0, 6552, 67, 40]",c
4691,"[0, 3563, 69, 77]",c
4692,"[2, 5350, 52, 77]",b
4693,"[2, 4999, 70, 37]",d
4694,"[1, 2461, 30, 78]",c
4695,"[0, 1879, 56, 54]",c
4696,"[2, 1788, 58, 42]",a
4697,"[1, 3428, 23, 59]",c
4698,"[2, 5745, 3, 27]",d
4699,"[2, 4416, 79, 23]",a
4700,"[2, 5705, 98, 10]",d
4701,"[0, 587, 76, 20]",a
4702,"[0, 7194, 4, 81]",c
4703,"[1, 4036, 1, 48]",a
4704,"[2, 1515, 100, 92]",a
4705,"[1, 5572, 30, 64]",d
4706,"[2, 815, 37, 41]",a
4707,"[0, 1167, 46, 95]",a
4708,"[0, 3079, 44, 40]",b
4709,"[0, 2138, 50, 3]",c
4710,"[0, 2212, 88, 0]",a
4711,"[1, 3174, 26, 56]",a
4712,"[1, 1401, 79, 34]",a
4713,"[2, 2908, 89, 38]",a
4714,"[1, 4809, 87, 53]",c
4715,"[2, 6078, 24, 88]",c
4716,"[0, 4118, 45, 63]",c
4717,"[0, 5126, 80, 14]",d
4718,"[2, 432, 24, 15]",b
4719,"[1, 5805, 67, 70]",a
4720,"[0, 100, 64, 79]",d
4721,"[0, 6865, 97, 57]",c
4722,"[2, 1250, 30, 93]",c
4723,"[1, 1410, 75, 54]",a
4724,"[1, 4779, 53, 30]",c
4725,"[2, 1751, 62, 3]",b
4726,"[0, 5822, 43, 60]",c
4727,"[0, 5135, 58, 38]",b
4728,"[2, 6422, 71, 41]",c
4729,"[1, 2620, 42, 87]",b
4730,"[1, 6392, 83, 42]",c
4731,"[2, 59, 33, 81]",d
4732,"[0, 1761, 58, 49]",a
4733,"[1, 3056, 66, 79]",a
4734,"[1, 1684, 32, 23]",d
4735,"[1, 4554, 55, 97]",c
4736,"[2, 6399, 30, 44]",d
4737,"[2, 5755, 84, 95]",b
4738,"[2, 2291, 35, 97]",a
4739,"[1, 1846, 71, 67]",a
4740,"[0, 5689, 93, 15]",c
4741,"[0, 160, 45, 73]",b
4742,"[0, 1928, 24, 58]",a
4743,"[0, 4566, 91, 66]",a
4744,"[0, 822, 10, 76]",b
4745,"[0, 1538, 91, 58]",b
4746,"[1, 6733, 32, 97]",b
4747,"[0, 4419, 4, 85]",c
4748,"[0, 2145, 45, 40]",b
4749,"[0, 6996, 78, 36]",d
4750,"[0, 6655, 65, 32]",c
4751,"[1, 27, 67, 60]",b
4752,"[2, 4876, 99, 37]",d
4753,"[0, 559, 1, 37]",a
4754,"[1, 4319, 2, 20]",b
4755,"[1, 3104, 89, 92]",d
4756,"[0, 1060, 76, 61]",d
4757,"[1, 2173, 33, 59]",d
4758,"[0, 6153, 59, 8]",c
4759,"[2, 428, 73, 27]",d
4760,"[0, 3779, 37, 3]",c
4761,"[2, 4981, 6, 81]",b
4762,"[0, 4328, 41, 76]",b
4763,"[0, 300, 20, 56]",d
4764,"[2, 4145, 74, 93]",b
4765,"[0, 3942, 46, 54]",b
4766,"[2, 6768, 51, 16]",a
4767,"[0, 3677, 16, 31]",b
4768,"[0, 5813, 74, 34]",b
4769,"[2, 250, 47, 34]",b
4770,"[1, 2393, 79, 100]",b
4771,"[0, 6020, 9, 93]",d
4772,"[0, 6229, 19, 5]",a
4773,"[0, 5484, 17, 49]",d
4774,"[0, 16, 96, 49]",d
4775,"[1, 3381, 6, 67]",a
4776,"[0, 6555, 66, 4]",c
4777,"[2, 7144, 100, 60]",c
4778,"[2, 4182, 53, 71]",a
4779,"[0, 4585, 53, 85]",d
4780,"[1, 3871, 33, 64]",d
4781,"[1, 1231, 51, 85]",c
4782,"[2, 4620, 20, 70]",c
4783,"[0, 1399, 52, 86]",a
4784,"[1, 5026, 32, 74]",a
4785,"[2, 4912, 20, 99]",c
4786,"[0, 6434, 26, 45]",a
4787,"[1, 2167, 10, 7]",a
4788,"[0, 4495, 26, 8]",b
4789,"[1, 2405, 59, 18]",c
4790,"[0, 93, 38, 11]",d
4791,"[2, 2841, 24, 20]",c
4792,"[0, 17, 28, 9]",b
4793,"[1, 4924, 85, 67]",c
4794,"[2, 5776, 62, 39]",a
4795,"[1, 5607, 71, 51]",d
4796,"[1, 6690, 69, 51]",c
4797,"[1, 2294, 43, 60]",b
4798,"[1, 5137, 76, 68]",c
4799,"[0, 1708, 35, 89]",d
4800,"[1, 3758, 36, 92]",c
4801,"[2, 1707, 86, 26]",d
4802,"[0, 272, 55, 67]",c
4803,"[0, 3906, 92, 82]",b
4804,"[2, 564, 39, 18]",c
4805,"[1, 4285, 99, 52]",d
4806,"[2, 2543, 51, 79]",a
4807,"[2, 4732, 2, 32]",d
4808,"[0, 144, 20, 86]",b
4809,"[1, 3734, 24, 92]",c
4810,"[0, 3393, 27, 0]",c
4811,"[0, 1309, 12, 87]",a
4812,"[2, 3041, 5, 38]",c
4813,"[2, 2150, 31, 26]",b
4814,"[1, 2396, 85, 62]",b
4815,"[1, 5231, 21, 1]",c
4816,"[2, 5958, 85, 20]",a
4817,"[2, 1908, 90, 49]",a
4818,"[0, 3899, 88, 3]",a
4819,"[0, 1735, 62, 52]",b
4820,"[1, 841, 59, 65]",d
4821,"[0, 3347, 31, 6]",b
4822,"[0, 5621, 10, 10]",c
4823,"[2, 5582, 5, 77]",a
4824,"[2, 4296, 62, 52]",c
4825,"[0, 1654, 48, 87]",c
4826,"[1, 3757, 65, 22]",a
4827,"[0, 4409, 8, 15]",a
4828,"[0, 5946, 16, 40]",b
4829,"[0, 5866, 83, 53]",c
4830,"[1, 3796, 16, 4]",c
4831,"[0, 1400, 19, 21]",d
4832,"[2, 5942, 74, 80]",b
4833,"[1, 326, 89, 6]",c
4834,"[2, 2683, 15, 20]",a
4835,"[2, 6247, 34, 61]",c
4836,"[0, 6056, 93, 57]",c
4837,"[1, 4562, 53, 89]",a
4838,"[0, 3310, 32, 55]",a
4839,"[2, 319, 19, 38]",c
4840,"[2, 484, 58, 24]",c
4841,"[2, 615, 84, 42]",b
4842,"[1, 5198, 73, 6]",a
4843,"[1, 2749, 77, 89]",c
4844,"[1, 4654, 70, 74]",b
4845,"[2, 6310, 91, 14]",d
4846,"[1, 828, 8, 45]",b
4847,"[1, 1770, 60, 25]",b
4848,"[0, 615, 88, 57]",a
4849,"[2, 6469, 92, 20]",a
4850,"[0, 3132, 67, 13]",d
4851,"[2, 5593, 94, 26]",c
4852,"[2, 1497, 31, 82]",d
4853,"[2, 2544, 72, 71]",d
4854,"[1, 6722, 58, 46]",a
4855,"[1, 4506, 57, 27]",b
4856,"[1, 5246, 62, 21]",d
4857,"[2, 483, 63, 23]",c
4858,"[1, 3457, 86, 20]",c
4859,"[2, 3415, 92, 28]",a
4860,"[2, 5243, 66, 67]",c
4861,"[1, 3299, 41, 74]",d
4862,"[2, 4814, 99, 38]",c
4863,"[1, 4760, 66, 47]",d
4864,"[0, 4374, 47, 93]",d
4865,"[0, 4209, 14, 74]",d
4866,"[0, 2802, 13, 40]",d
4867,"[2, 6426, 25, 33]",a
4868,"[1, 3694, 42, 17]",a
4869,"[0, 5073, 11, 12]",a
4870,"[0, 5693, 80, 62]",a
4871,"[1, 726, 92, 67]",d
4872,"[1, 5038, 35, 18]",a
4873,"[1, 6404, 95, 72]",d
4874,"[0, 2704, 26, 60]",c
4875,"[0, 1078, 25, 27]",a
4876,"[1, 6524, 59, 34]",b
4877,"[0, 5906, 41, 79]",a
4878,"[0, 13, 29, 37]",b
4879,"[2, 3687, 33, 33]",d
4880,"[0, 5148, 21, 79]",c
4881,"[0, 5291, 36, 94]",c
4882,"[1, 3621, 59, 60]",b
4883,"[2, 5428, 41, 61]",d
4884,"[2, 3909, 34, 7]",c
4885,"[0, 843, 27, 30]",b
4886,"[0, 3180, 38, 6]",d
4887,"[0, 4771, 91, 98]",c
4888,"[2, 496, 28, 69]",c
4889,"[0, 3400, 95, 89]",a
4890,"[0, 2186, 98, 15]",d
4891,"[1, 4516, 83, 14]",a
4892,"[2, 5150, 38, 99]",d
4893,"[2, 398, 15, 96]",a
4894,"[2, 3693, 22, 38]",a
4895,"[0, 717, 82, 63]",a
4896,"[1, 4455, 22, 53]",d
4897,"[2, 3050, 37, 89]",d
4898,"[2, 3905, 75, 30]",c
4899,"[2, 4529, 20, 66]",a
4900,"[2, 1455, 5, 86]",b
4901,"[1, 6644, 59, 86]",c
4902,"[1, 615, 82, 59]",c
4903,"[0, 4955, 60, 88]",b
4904,"[0, 3270, 33, 73]",b
4905,"[1, 1502, 44, 2]",c
4906,"[0, 4379, 2, 62]",d
4907,"[0, 1962, 39, 22]",b
4908,"[2, 2468, 20, 91]",d
4909,"[0, 6841, 69, 26]",a
4910,"[0, 1198, 95, 27]",d
4911,"[1, 6356, 21, 0]",a
4912,"[1, 7121, 14, 71]",c
4913,"[0, 4772, 70, 42]",a
4914,"[0, 5124, 95, 75]",a
4915,"[2, 3250, 14, 52]",b
4916,"[2, 521, 12, 67]",a
4917,"[0, 2692, 51, 26]",a
4918,"[2, 1412, 6, 42]",b
4919,"[1, 4904, 27, 26]",a
4920,"[1, 7077, 96, 18]",c
4921,"[2, 4484, 45, 28]",b
4922,"[2, 5917, 97, 96]",c
4923,"[0, 2631, 26, 22]",a
4924,"[0, 6896, 60, 52]",d
4925,"[2, 1477, 96, 27]",d
4926,"[2, 1394, 13, 5]",d
4927,"[1, 6331, 79, 1]",b
4928,"[2, 5558, 76, 40]",a
4929,"[0, 1032, 40, 92]",b
4930,"[1, 1765, 50, 4]",c
4931,"[2, 1080, 67, 16]",d
4932,"[1, 2524, 84, 13]",d
4933,"[1, 2526, 41, 44]",c
4934,"[2, 5547, 86, 80]",b
4935,"[2, 870, 32, 56]",b
4936,"[0, 2971, 33, 60]",c
4937,"[0, 1719, 32, 37]",a
4938,"[1, 2579, 63, 11]",c
4939,"[0, 2455, 21, 17]",a
4940,"[1, 5131, 42, 34]",b
4941,"[1, 5973, 15, 65]",c
4942,"[0, 812, 45, 97]",c
4943,"[1, 7110, 100, 76]",d
4944,"[2, 496, 98, 99]",d
4945,"[2, 6596, 12, 22]",a
4946,"[0, 2432, 66, 75]",a
4947,"[0, 6540, 78, 18]",a
4948,"[0, 1713, 12, 10]",d
4949,"[0, 6322, 15, 56]",a
4950,"[1, 733, 10, 49]",d
4951,"[2, 6995, 99, 18]",d
4952,"[0, 3982, 2, 20]",b
4953,"[1, 5746, 47, 43]",b
4954,"[2, 4950, 96, 80]",b
4955,"[1, 4300, 86, 39]",d
4956,"[0, 5172, 89, 69]",b
4957,"[2, 6841, 65, 10]",d
4958,"[0, 393, 9, 6]",d
4959,"[1, 3803, 43, 0]",d
4960,"[0, 6264, 23, 3]",b
4961,"[0, 6158, 81, 39]",c
4962,"[0, 6274, 39, 4]",b
4963,"[2, 5491, 2, 59]",b
4964,"[0, 4808, 1, 62]",d
4965,"[0, 4026, 46, 76]",d
4966,"[1, 5417, 43, 26]",c
4967,"[0, 5422, 68, 83]",d
4968,"[0, 1712, 14, 50]",a
4969,"[0, 5944, 25, 26]",c
4970,"[1, 2836, 15, 29]",a
4971,"[0, 6229, 8, 5]",b
4972,"[1, 2937, 69, 69]",d
4973,"[2, 5534, 50, 20]",c
4974,"[0, 5970, 83, 31]",c
4975,"[1, 1967, 3, 89]",a
4976,"[0, 4266, 67, 86]",c
4977,"[0, 3363, 59, 8]",b
4978,"[1, 2728, 89, 69]",c
4979,"[2, 2267, 37, 34]",d
4980,"[2, 4126, 76, 31]",c
4981,"[1, 5507, 74, 45]",a
4982,"[1, 2773, 54, 87]",d
4983,"[0, 6477, 67, 37]",c
4984,"[0, 5068, 44, 57]",a
4985,"[0, 7196, 37, 59]",d
4986,"[2, 628, 71, 7]",a
4987,"[2, 6639, 78, 88]",a
4988,"[0, 2661, 17, 44]",a
4989,"[2, 6556, 73, 7]",b
4990,"[1, 1216, 6, 23]",a
4991,"[2, 5353, 33, 27]",c
4992,"[1, 2834, 88, 74]",a
4993,"[1, 1325, 86, 81]",a
4994,"[0, 4548, 69, 82]",c
4995,"[1, 6579, 60, 34]",a
4996,"[0, 1441, 80, 1]",d
4997,"[2, 783, 62, 47]",c
4998,"[1, 4457, 51, 37]",a
4999,"[1, 5525, 69, 97]",b
5000,"[1, 973, 82, 86]",a
5001,"[0, 6845, 17, 6]",d
5002,"[0, 3961, 68, 19]",d
5003,"[0, 1949, 93, 56]",a
5004,"[0, 4381, 40, 36]",a
5005,"[2, 2635, 4, 59]",b
5006,"[2, 5440, 70, 31]",c
5007,"[1, 4298, 18, 87]",b
5008,"[2, 5951, 69, 52]",d
5009,"[0, 2011, 7, 55]",a
5010,"[0, 4973, 6, 10]",b
5011,"[1, 350, 95, 27]",d
5012,"[0, 6125, 53, 29]",a
5013,"[1, 2738, 42, 62]",d
5014,"[0, 5172, 6, 24]",b
5015,"[0, 3726, 21, 95]",c
5016,"[1, 257, 98, 88]",d
5017,"[2, 5037, 48, 35]",b
5018,"[1, 4320, 30, 59]",b
5019,"[1, 6788, 100, 35]",c
5020,"[0, 2046, 88, 31]",c
5021,"[0, 432, 0, 67]",d
5022,"[0, 5393, 92, 77]",b
5023,"[0, 3610, 94, 42]",d
5024,"[1, 1361, 73, 29]",c
5025,"[0, 4824, 80, 67]",d
5026,"[2, 6965, 45, 29]",d
5027,"[0, 5393, 85, 82]",b
5028,"[1, 6684, 14, 44]",d
5029,"[2, 1124, 59, 87]",a
5030,"[2, 1341, 14, 71]",b
5031,"[1, 1175, 8, 29]",b
5032,"[1, 6848, 6, 2]",c
5033,"[0, 1428, 27, 96]",a
5034,"[0, 3745, 1, 69]",d
5035,"[0, 194, 68, 96]",b
5036,"[0, 6120, 58, 92]",b
5037,"[2, 6634, 44, 12]",d
5038,"[1, 5821, 54, 55]",c
5039,"[0, 2202, 24, 13]",b
5040,"[0, 7197, 35, 24]",a
5041,"[2, 2053, 41, 17]",b
5042,"[2, 1606, 16, 74]",a
5043,"[0, 2470, 34, 26]",c
5044,"[0, 3159, 66, 75]",d
5045,"[0, 1920, 55, 51]",a
5046,"[1, 4428, 29, 15]",d
5047,"[2, 2544, 10, 56]",d
5048,"[2, 4065, 13, 70]",c
5049,"[2, 1344, 22, 52]",a
5050,"[1, 4658, 54, 55]",c
5051,"[0, 1381, 16, 44]",a
5052,"[2, 6062, 2, 83]",d
5053,"[1, 294, 12, 61]",b
5054,"[2, 242, 4, 71]",d
5055,"[2, 3167, 37, 19]",a
5056,"[0, 3259, 57, 75]",c
5057,"[1, 7, 12, 54]",a
5058,"[1, 7082, 58, 10]",b
5059,"[1, 6496, 10, 19]",a
5060,"[2, 662, 19, 14]",c
5061,"[1, 3584, 71, 8]",d
5062,"[2, 6274, 1, 29]",c
5063,"[0, 7167, 43, 86]",a
5064,"[2, 3025, 45, 34]",c
5065,"[2, 6010, 47, 47]",d
5066,"[2, 1233, 23, 66]",b
5067,"[2, 5614, 4, 87]",a
5068,"[0, 5474, 81, 47]",c
5069,"[2, 1841, 98, 75]",d
5070,"[2, 3747, 95, 50]",c
5071,"[1, 1507, 48, 80]",c
5072,"[1, 5690, 30, 95]",a
5073,"[2, 2190, 30, 42]",a
5074,"[0, 5936, 13, 75]",a
5075,"[1, 6589, 19, 17]",a
5076,"[0, 411, 26, 69]",b
5077,"[0, 5615, 68, 67]",a
5078,"[1, 6844, 31, 9]",d
5079,"[1, 4214, 10, 12]",d
5080,"[2, 5200, 81, 94]",c
5081,"[1, 5037, 85, 22]",b
5082,"[2, 218, 44, 44]",c
5083,"[0, 2396, 32, 70]",c
5084,"[1, 1555, 51, 52]",a
5085,"[0, 3100, 44, 30]",d
5086,"[1, 2224, 14, 8]",b
5087,"[0, 5979, 70, 78]",a
5088,"[2, 3428, 0, 48]",d
5089,"[1, 717, 44, 57]",b
5090,"[1, 5487, 92, 45]",a
5091,"[2, 6216, 58, 74]",a
5092,"[1, 486, 70, 20]",b
5093,"[0, 4719, 48, 47]",d
5094,"[0, 2572, 76, 54]",c
5095,"[2, 44, 31, 72]",c
5096,"[1, 6474, 38, 81]",b
5097,"[0, 5595, 87, 12]",b
5098,"[0, 5676, 37, 91]",c
5099,"[2, 5244, 90, 91]",b
5100,"[1, 4258, 87, 34]",a
5101,"[0, 3609, 85, 69]",c
5102,"[0, 496, 21, 68]",d
5103,"[1, 6844, 84, 77]",c
5104,"[2, 5173, 13, 42]",d
5105,"[1, 5900, 62, 4]",b
5106,"[1, 2143, 79, 83]",c
5107,"[1, 6354, 74, 95]",d
5108,"[2, 6607, 9, 71]",c
5109,"[1, 6527, 64, 12]",d
5110,"[1, 4149, 61, 60]",a
5111,"[0, 4866, 95, 99]",d
5112,"[1, 6564, 39, 22]",a
5113,"[2, 3847, 34, 76]",a
5114,"[0, 3241, 36, 23]",d
5115,"[1, 7199, 25, 53]",a
5116,"[1, 4152, 33, 2]",c
5117,"[0, 6967, 47, 9]",d
5118,"[1, 5085, 16, 96]",b
5119,"[0, 2294, 45, 57]",d
5120,"[2, 4938, 22, 27]",a
5121,"[0, 1280, 47, 96]",b
5122,"[1, 2041, 6, 48]",c
5123,"[0, 3811, 100, 92]",c
5124,"[0, 5838, 79, 43]",b
5125,"[2, 3725, 83, 79]",c
5126,"[2, 3957, 12, 72]",d
5127,"[2, 4747, 4, 67]",a
5128,"[2, 4085, 1, 34]",d
5129,"[2, 2929, 26, 19]",b
5130,"[0, 4339, 21, 74]",d
5131,"[2, 6048, 82, 89]",d
5132,"[2, 6941, 28, 56]",a
5133,"[2, 2930, 98, 71]",d
5134,"[1, 1168, 16, 20]",b
5135,"[2, 4473, 39, 32]",a
5136,"[1, 2214, 85, 28]",d
5137,"[1, 2018, 3, 56]",b
5138,"[2, 4575, 7, 34]",b
5139,"[2, 1645, 68, 36]",d
5140,"[0, 3262, 17, 55]",c
5141,"[1, 4984, 60, 27]",b
5142,"[0, 2950, 91, 25]",a
5143,"[0, 6433, 24, 92]",b
5144,"[2, 3967, 68, 90]",d
5145,"[2, 5924, 32, 72]",b
5146,"[0, 5565, 49, 89]",d
5147,"[1, 6910, 67, 41]",c
5148,"[1, 2328, 82, 47]",a
5149,"[1, 1404, 99, 61]",a
5150,"[1, 1245, 22, 30]",a
5151,"[0, 2872, 16, 13]",a
5152,"[1, 5442, 50, 33]",c
5153,"[0, 6550, 11, 80]",a
5154,"[0, 3041, 51, 1]",b
5155,"[1, 3288, 48, 69]",c
5156,"[1, 6732, 80, 55]",a
5157,"[2, 4593, 77, 17]",d
5158,"[1, 2295, 93, 46]",b
5159,"[0, 5449, 56, 55]",b
5160,"[2, 6652, 2, 63]",d
5161,"[2, 3012, 19, 38]",b
5162,"[1, 5550, 37, 45]",b
5163,"[1, 302, 12, 11]",d
5164,"[0, 3140, 42, 35]",b
5165,"[0, 4315, 48, 46]",d
5166,"[1, 3258, 48, 46]",c
5167,"[0, 3875, 6, 52]",c
5168,"[2, 3207, 19, 65]",c
5169,"[0, 3361, 53, 67]",d
5170,"[2, 450, 81, 11]",d
5171,"[1, 147, 67, 43]",a
5172,"[2, 3032, 28, 42]",d
5173,"[1, 2261, 76, 37]",b
5174,"[1, 597, 64, 89]",d
5175,"[2, 2562, 82, 23]",c
5176,"[2, 4935, 5, 28]",d
5177,"[0, 6086, 78, 14]",d
5178,"[2, 4306, 63, 67]",c
5179,"[0, 848, 6, 50]",b
5180,"[1, 994, 57, 77]",d
5181,"[1, 6009, 81, 0]",c
5182,"[1, 3786, 34, 53]",b
5183,"[2, 6240, 19, 97]",d
5184,"[1, 5510, 40, 49]",c
5185,"[2, 6069, 74, 94]",d
5186,"[1, 1420, 24, 53]",d
5187,"[0, 2248, 100, 98]",a
5188,"[0, 2034, 55, 93]",d
5189,"[1, 4718, 4, 28]",d
5190,"[0, 4961, 25, 19]",d
5191,"[1, 1217, 82, 75]",d
5192,"[2, 4706, 10, 87]",a
5193,"[2, 461, 26, 17]",b
5194,"[1, 5313, 23, 48]",b
5195,"[0, 6660, 45, 54]",d
5196,"[0, 697, 50, 69]",d
5197,"[1, 5914, 69, 84]",a
5198,"[0, 6275, 7, 80]",c
5199,"[0, 4234, 89, 17]",d
5200,"[1, 4284, 21, 69]",d
5201,"[2, 3573, 46, 14]",c
5202,"[2, 4263, 39, 95]",b
5203,"[0, 5809, 60, 12]",a
